id_tiempo,fecha,año,semestre,trimestre,mes,mes_nombre,dia_semana,semana,fecha_inicio_año,fecha_fin_año,fecha_inicio_semestre,fecha_fin_semestre,fecha_inicio_trimestre,fecha_fin_trimestre,fecha_inicio_mes,fecha_fin_mes,fecha_inicio_semana,fecha_fin_semana
20200219,2020-02-19 00:00:00,2020,1,1,2,Febrero,Miércoles,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200220,2020-02-20 00:00:00,2020,1,1,2,Febrero,Jueves,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200221,2020-02-21 00:00:00,2020,1,1,2,Febrero,Viernes,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200222,2020-02-22 00:00:00,2020,1,1,2,Febrero,Sábado,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200223,2020-02-23 00:00:00,2020,1,1,2,Febrero,Domingo,8,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-17 00:00:00,2020-02-23 00:00:00
20200224,2020-02-24 00:00:00,2020,1,1,2,Febrero,Lunes,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200225,2020-02-25 00:00:00,2020,1,1,2,Febrero,Martes,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200226,2020-02-26 00:00:00,2020,1,1,2,Febrero,Miércoles,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200227,2020-02-27 00:00:00,2020,1,1,2,Febrero,Jueves,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200228,2020-02-28 00:00:00,2020,1,1,2,Febrero,Viernes,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200229,2020-02-29 00:00:00,2020,1,1,2,Febrero,Sábado,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-02-01 00:00:00,2020-02-29 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
20200301,2020-03-01 00:00:00,2020,1,1,3,Marzo,Domingo,9,2020-01-01 00:00:00,2020-12-30 00:00:00,2020-01-01 00:00:00,2020-06-30 00:00:00,2020-01-01 00:00:00,2020-03-31 00:00:00,2020-03-01 00:00:00,2020-03-31 00:00:00,2020-02-24 00:00:00,2020-03-01 00:00:00
